Gene1	Gene2	Weight
REG1B	RP11-403A3.1	0.72418785
REG1B	ZNF705A	0.70881414
HSPD1P15	HSFY1P1	0.73269254
HSPD1P15	AC068044.1	0.7375598
HSPD1P15	LINC00700	0.74587536
HSPD1P15	EEF1A1P36	0.70817345
HSPD1P15	RP11-395E19.6	0.7054449
HSPD1P15	SLC4A1APP2	0.72864753
HSPD1P15	RP11-470L19.2	0.7086809
HSPD1P15	MTND5P13	0.76553583
HSPD1P15	RIOK3P1	0.8034062
HSPD1P15	RP11-513O17.3	0.7361986
HSPD1P15	RP11-118H4.1	0.7522245
HSPD1P15	GLUD1P9	0.73561
HSPD1P15	RP11-25D10.2	0.7548771
HSPD1P15	NEK2P2	0.747767
HSPD1P15	RP11-809F4.3	0.71580386
HSPD1P15	TISP43	0.7635711
HSPD1P15	RP11-593P24.2	0.73236156
HSPD1P15	RP11-108B14.5	0.7147544
HSPD1P15	FAM169B	0.7323795
HSPD1P15	LINC01299	0.72109216
HSPD1P15	PRDM9	0.7021665
HSPD1P15	AC105342.1	0.70870894
HSPD1P15	C16orf97	0.7399723
HSPD1P15	RP11-193H5.1	0.73485565
HSPD1P15	SALL1P1	0.7836488
HSPD1P15	FAM47B	0.7174578
HSPD1P15	ABCF2P1	0.7607398
HSPD1P15	RP11-641A6.5	0.7084303
HSPD1P15	RP11-560L11.1	0.726953
HSPD1P15	OR7E24	0.74114686
HSPD1P15	OR4D10	0.72509986
HSPD1P15	LINC00706	0.7052984
HSPD1P15	RP11-730N24.1	0.710491
HSPD1P15	RP11-143A12.3	0.75729513
HSPD1P15	KRT18P43	0.74010825
HSPD1P15	HTR5A-AS1	0.75222236
HSPD1P15	ANKRD26P2	0.7226479
HSPD1P15	PRR23B	0.72937495
HSPD1P15	RP11-576D8.4	0.7092669
HSPD1P15	RP5-998G20.1	0.7774687
HSPD1P15	MTND5P30	0.7396946
HSPD1P15	RP11-861E23.2	0.72384644
HSPD1P15	MAPK6PS4	0.7080944
HSPD1P15	RP11-555J4.4	0.7044758
RP11-307A17.2	RP11-698E18.1	0.7113208
RP11-307A17.2	RP11-470L19.2	0.70870686
RP11-307A17.2	LINC00635	0.7714279
RP11-307A17.2	RP11-362I1.2	0.7151792
RP11-307A17.2	MTND4P1	0.75679827
RP11-307A17.2	RP11-760D2.11	0.74171495
RP11-307A17.2	TRIM60P13	0.76207495
RP11-76I14.1	RP4-668E10.4	0.739069
RP11-76I14.1	NMNAT1P3	0.725426
RP11-76I14.1	LINC00550	0.76831555
RP11-76I14.1	GALNTL5	0.706464
RP11-76I14.1	FAM47C	0.7270617
RP11-76I14.1	SLC4A1APP2	0.7174166
RP11-76I14.1	RP11-470L19.2	0.76053166
RP11-76I14.1	UGT2B10	0.7468903
RP11-76I14.1	MTND5P13	0.71232146
RP11-76I14.1	RIOK3P1	0.7245908
RP11-76I14.1	RP11-118H4.1	0.7295707
RP11-76I14.1	RP11-747D18.1	0.7077911
RP11-76I14.1	AC020956.3	0.7058299
RP11-76I14.1	FRG2DP	0.70511246
RP11-76I14.1	RP11-56L13.1	0.7170083
RP11-76I14.1	PRDM9	0.70567226
RP11-76I14.1	OR6C74	0.7253354
RP11-76I14.1	RP11-193H5.1	0.7210531
RP11-76I14.1	CTD-2008P7.8	0.7596545
RP11-76I14.1	RP11-475D12.2	0.7277518
RP11-76I14.1	SNTG1	0.72376394
RP11-76I14.1	GJA10	0.710927
RP11-76I14.1	ABCF2P1	0.7242659
RP11-76I14.1	RP11-641A6.5	0.7208626
RP11-76I14.1	MTND1P7	0.72705954
RP11-76I14.1	RP11-568G20.2	0.7061389
RP11-76I14.1	RP11-16E18.1	0.77314883
RP11-76I14.1	ANKRD26P2	0.8284817
RP11-76I14.1	HSPD1P8	0.7963775
RP11-76I14.1	RP11-234O6.2	0.7128098
RP11-76I14.1	ACTR3BP3	0.7948501
RP11-76I14.1	PABPC1P8	0.7015886
RP11-76I14.1	FLJ22763	0.77629423
RP11-76I14.1	RP5-998G20.1	0.80186206
RP11-76I14.1	USP29	0.7489819
RP11-76I14.1	BEND2	0.74220616
RP11-76I14.1	TARS2P1	0.70053834
RP11-76I14.1	OR4K2	0.7322114
RP11-76I14.1	AC008067.2	0.72433347
RP11-76I14.1	AC005176.2	0.71509624
RP11-76I14.1	LINC01516	0.70131755
OPCML-IT1	RP11-14I2.2	0.71230394
OPCML-IT1	RP5-1119O21.2	0.7259936
OPCML-IT1	POU3F4	0.70980436
OPCML-IT1	AKAP4	0.70345753
OPCML-IT1	CTC-525D6.1	0.7625413
OPCML-IT1	TOPAZ1	0.7307332
OPCML-IT1	GJD2	0.71811724
OPCML-IT1	SSX6	0.81276304
OPCML-IT1	OR8U1	0.7109421
OPCML-IT1	RP11-475D12.2	0.7165261
OPCML-IT1	RP1-140J1.1	0.71031684
OPCML-IT1	HSPD1P3	0.70867866
OPCML-IT1	PASD1	0.7482009
OPCML-IT1	LCN8	0.722826
OPCML-IT1	RP11-80F22.5	0.71583706
OPCML-IT1	RP11-80F22.10	0.7864265
OPCML-IT1	LINC00210	0.7244939
OPCML-IT1	ZNF519P1	0.7353537
OPCML-IT1	ME2P1	0.7009425
OPCML-IT1	RP11-60C6.6	0.7204389
OPCML-IT1	SALL4P2	0.7004499
RP11-268G13.1	GK2	0.71824723
RP11-268G13.1	RP5-912I13.1	0.72329634
RP11-268G13.1	AC079612.1	0.7125966
RP11-268G13.1	PRAMEF26	0.73097396
RP11-268G13.1	OR11H2	0.7154875
RP11-268G13.1	RP11-267C16.1	0.7280037
RP11-14K3.1	RP11-1112C15.1	0.71544695
RP11-14K3.1	MTND5P27	0.737736
RP11-14K3.1	FAM47C	0.7265335
RP11-14K3.1	RP11-153K16.2	0.72790766
RP11-14K3.1	RP11-508O18.1	0.71514726
RP11-14K3.1	MAGEB6	0.72822124
RP11-14K3.1	CTD-2194D22.4	0.7357357
RP11-14K3.1	FRG2DP	0.7125965
RP11-14K3.1	AC140725.8	0.74015075
RP11-14K3.1	RP11-946L20.1	0.7048917
RP11-14K3.1	RP11-1E11.2	0.716402
RP11-14K3.1	KLK15	0.73429227
RP11-14K3.1	RP11-425A6.5	0.7223045
RP11-14K3.1	RP11-475D12.2	0.73446006
RP11-14K3.1	RP11-151E14.1	0.74944764
RP11-14K3.1	RP11-66A2.2	0.718652
RP11-14K3.1	RP11-313I2.5	0.71750903
RP11-14K3.1	ANKRD26P2	0.7394161
RP11-14K3.1	LINC00210	0.7069095
RP11-14K3.1	LINC01492	0.7107744
RP11-14K3.1	ACTR3BP3	0.71948785
RP11-14K3.1	CTD-2351A16.1	0.7030868
RP11-14K3.1	RP11-179K3.2	0.7286646
RP11-14K3.1	RP11-158D2.2	0.7252774
RP11-14K3.1	SPATA16	0.735884
RP11-14K3.1	ME2P1	0.7239421
LEMD1-AS1	OFCC1	0.74156207
LEMD1-AS1	BLACAT1	0.75836533
LEMD1-AS1	RP11-360O19.4	0.7356212
LEMD1-AS1	AC067956.1	0.75171185
LEMD1-AS1	RANBP20P	0.7924711
LEMD1-AS1	LINC00706	0.72690177
LEMD1-AS1	RP11-576D8.4	0.73613244
LEMD1-AS1	LEMD1	0.7472908
RP11-287F9.1	AP000705.8	0.718977
RP11-287F9.1	RP11-959I15.1	0.70193833
RP11-287F9.1	RP3-428A13.2	0.7022538
RP11-287F9.1	GS1-309P15.2	0.7048219
RP11-287F9.1	AC093802.1	0.74465424
RP11-287F9.1	RP11-284A20.2	0.719748
RP11-287F9.1	RP11-204I15.1	0.7015248
LINC00558	AC023128.2	0.7261455
LINC00558	RP11-351K23.3	0.71706057
LINC00558	CICP11	0.79009604
LINC00558	FMO9P	0.712554
LINC00558	EHHADH-AS1	0.7459107
LINC00558	ATP5BP1	0.744441
LINC00558	OR5H14	0.7479413
LINC00558	CCER1	0.7241437
LINC00558	TRIM60P13	0.7743682
LINC00558	ZNF720P1	0.71177036
LINC00558	RP11-244B22.6	0.70987695
LINC00558	LINC01111	0.7487817
LINC00558	LINC01581	0.7572171
LINC00558	TPTE	0.7202964
LINC00836	EEF1A1P36	0.734605
LINC00836	RP11-21L1.1	0.7469612
LINC00836	RP11-470L19.2	0.76542956
LINC00836	MC2R	0.71280026
LINC00836	RP11-118H4.1	0.7124861
LINC00836	MTND4P1	0.7248888
LINC00836	RP4-800O15.2	0.7338396
LINC00836	LINC00371	0.7471172
LINC00836	RP11-593P24.2	0.7275488
LINC00836	ZIK1P1	0.7263066
LINC00836	PRDM9	0.7022841
LINC00836	FAM47B	0.74914044
LINC00836	TRIM60P13	0.77651185
LINC00836	LINC00608	0.70193547
LINC00836	VN1R7P	0.7374244
LINC00836	14-Sep	0.70450014
LINC00836	OR7E24	0.7002027
LINC00836	OR4D10	0.70080376
LINC00836	RP11-716D16.1	0.74920446
LINC00836	CTD-2122P11.1	0.7129445
LINC00836	RP11-707A18.1	0.71690255
KLHL1	RP11-1112C15.1	0.71151185
KLHL1	GALNTL5	0.70862246
KLHL1	RP11-475A13.2	0.70668316
KLHL1	DHX9P1	0.7016626
KLHL1	MTND4P1	0.70547676
KLHL1	LINC00261	0.7472324
KLHL1	EHHADH-AS1	0.75920624
KLHL1	RP3-428A13.2	0.73144203
KLHL1	RP5-865N13.1	0.7042904
KLHL1	TRIM60P13	0.77335066
KLHL1	RP11-691G17.1	0.7141201
KLHL1	RP11-566K19.12	0.7194112
KLHL1	OR12D3	0.70732003
KLHL1	RP11-80F22.10	0.7023614
KLHL1	UGT2A3	0.7045732
KLHL1	TRIM43	0.71385354
KLHL1	NTS	0.7138087
KLHL1	LINC01205	0.75553805
POU3F4	OR8K3	0.7387964
POU3F4	RP11-434D2.3	0.7272695
POU3F4	ADAM7	0.70258313
POU3F4	MTND5P13	0.722765
POU3F4	RP11-498E11.2	0.7445658
POU3F4	OR8F1P	0.7644121
POU3F4	ACTR6P1	0.7105437
POU3F4	MTND2P6	0.7357166
POU3F4	HSPD1P3	0.7284723
POU3F4	RP5-912I13.1	0.7173584
POU3F4	MTND4P5	0.72152877
POU3F4	RP11-16E18.1	0.7095936
POU3F4	CTC-546K23.2	0.7493479
POU3F4	RP11-80F22.5	0.7305116
POU3F4	RP11-728D14.6	0.7441245
POU3F4	LINC00210	0.70590824
POU3F4	OR11H2	0.7115074
POU3F4	ACTR3BP3	0.7545672
POU3F4	RP11-861E23.2	0.7015037
POU3F4	OR8B5P	0.74061155
PABPC1P13	RP11-258B16.1	0.7257522
PABPC1P13	OR6C68	0.7056102
PABPC1P13	OR5T3	0.77727705
PABPC1P13	TAAR2	0.72373056
PABPC1P13	OR4F28P	0.7100238
PABPC1P13	CABS1	0.71044475
PABPC1P13	OR4R3P	0.7095396
PABPC1P13	GYG1P2	0.7084775
PABPC1P13	AC008067.2	0.77658564
PABPC1P13	RP11-43P5.3	0.7391803
PABPC1P13	RP11-78H18.2	0.7033046
TPD52L3	DHX9P1	0.7172547
TPD52L3	LINC00261	0.7535451
TPD52L3	CTAGE1	0.70396996
TPD52L3	SLC9A4	0.7136652
TPD52L3	RP11-618P13.1	0.7601071
TPD52L3	RP11-80F22.10	0.71340114
TPD52L3	RP11-325N19.3	0.7258558
TPD52L3	RP11-2A4.4	0.7154692
TPD52L3	KCNG4	0.718138
TPD52L3	RP11-78H18.2	0.70687366
TPD52L3	SALL4P2	0.7323429
TMEM161BP1	ATP8A2P1	0.7734232
TMEM161BP1	ANKRD30A	0.8134243
TMEM161BP1	RP11-20F24.2	0.72729415
TMEM161BP1	RN7SL314P	0.7701967
TMEM161BP1	VN1R53P	0.8379836
TMEM161BP1	LINC00993	0.7987521
RP11-144L1.4	EEF1A1P36	0.8141413
RP11-144L1.4	RP11-410C4.5	0.7679825
RP11-144L1.4	SLC4A1APP2	0.8602738
RP11-144L1.4	RP11-470L19.2	0.7598763
RP11-144L1.4	RP11-497J7.4	0.7152669
RP11-144L1.4	MTND5P13	0.7106088
RP11-144L1.4	RIOK3P1	0.710927
RP11-144L1.4	RP11-118H4.1	0.74982923
RP11-144L1.4	RP11-747D18.1	0.7692154
RP11-144L1.4	RP11-362I1.2	0.72979707
RP11-144L1.4	CTC-525D6.3	0.7143411
RP11-144L1.4	RP11-25D10.2	0.8126882
RP11-144L1.4	NEK2P2	0.7297098
RP11-144L1.4	RP4-800O15.2	0.7827878
RP11-144L1.4	PAGE4	0.7123809
RP11-144L1.4	AC020956.3	0.70539314
RP11-144L1.4	FRG2DP	0.7420285
RP11-144L1.4	RP11-87M18.2	0.7013188
RP11-144L1.4	RP11-704M14.1	0.7039587
RP11-144L1.4	AP000469.2	0.71674323
RP11-144L1.4	RP11-593P24.2	0.70402294
RP11-144L1.4	OR9G1	0.73089975
RP11-144L1.4	RP11-108B14.5	0.73619556
RP11-144L1.4	RP11-56L13.1	0.7374203
RP11-144L1.4	LINC01299	0.7359045
RP11-144L1.4	PRDM9	0.7320668
RP11-144L1.4	AC105342.1	0.7085476
RP11-144L1.4	CYLC2	0.71902233
RP11-144L1.4	RP11-193H5.1	0.72769505
RP11-144L1.4	SALL1P1	0.7248365
RP11-144L1.4	TRIM60P13	0.7358475
RP11-144L1.4	LINC00608	0.7531047
RP11-144L1.4	VN1R7P	0.78723663
RP11-144L1.4	TMCO5A	0.7057379
RP11-144L1.4	OR7E24	0.759175
RP11-144L1.4	OR4D10	0.7477742
RP11-144L1.4	OR4K5	0.7226835
RP11-144L1.4	SLC39A12-AS1	0.70156926
RP11-144L1.4	RP11-568G20.2	0.7518344
RP11-144L1.4	RP11-16E18.1	0.7183481
RP11-144L1.4	RP11-730N24.1	0.73574656
RP11-144L1.4	RP11-313I2.5	0.7547527
RP11-144L1.4	RP11-203I2.2	0.7234841
RP11-144L1.4	KRT18P43	0.7231495
RP11-144L1.4	AC062022.1	0.70388824
RP11-144L1.4	ANKRD26P2	0.7697174
RP11-144L1.4	RP11-234O6.2	0.7640708
RP11-144L1.4	ACTR3BP3	0.71364206
RP11-144L1.4	AC034110.1	0.76816386
RP11-144L1.4	RP11-271F18.3	0.7143232
RP11-144L1.4	DDX18P6	0.7018878
RP11-144L1.4	RP5-998G20.1	0.78290224
RP11-144L1.4	BIRC8	0.7209756
RP11-144L1.4	RP11-707A18.1	0.72197
RP11-144L1.4	OR4K2	0.7316038
RP11-144L1.4	LINC00661	0.7415374
RP11-144L1.4	RP11-300M24.1	0.7005184
RP11-144L1.4	AC005176.2	0.7749264
ANKRD30B	ERBB4	0.72703165
ANKRD30B	CT62	0.73733354
ANKRD30B	RP11-527H14.6	0.7468665
ANKRD30B	FGF7P1	0.7112754
ANKRD30B	RP11-527H14.4	0.7903046
BLACAT1	AC005152.3	0.7333049
BLACAT1	RP11-138E16.1	0.7006335
BLACAT1	SHC4	0.77127177
BLACAT1	LEMD1	0.794764
ADAM7	MTND5P13	0.71337366
ADAM7	RP11-153K16.2	0.7230486
ADAM7	OR8U1	0.7007994
ADAM7	RP11-19P22.5	0.7056373
ADAM7	OR2M1P	0.70306873
ADAM7	RP11-295D22.1	0.7356935
ADAM7	LCE1B	0.7067415
ADAM7	LINC01222	0.74360704
ADAM7	RP4-640H8.2	0.72904044
ADAM7	RP11-639F1.2	0.75082046
ADAM7	AC034110.1	0.7016487
ADAM7	RP11-158D2.2	0.71466917
ADAM7	CAPZA3	0.71466714
ADAM7	RP11-355K23B.1	0.7128959
KRT18P46	SPATA31E2P	0.70822054
KRT18P46	RP11-25D10.2	0.769043
KRT18P46	RP3-449H6.2	0.70422405
KRT18P46	OR5H15	0.71096164
KRT18P46	SUN3	0.74352694
KRT18P46	SALL1P1	0.710661
KRT18P46	VN1R7P	0.73758525
KRT18P46	MTND5P17	0.70211864
KRT18P46	HSPD1P3	0.7204407
KRT18P46	PNPT1P2	0.71667403
KRT18P46	SPAM1	0.7302945
KRT18P46	KRT18P43	0.73725176
KRT18P46	PRR23B	0.7571239
KRT18P46	SLC17A1	0.7286392
KRT18P46	RP11-716D16.1	0.72102255
KRT18P46	OR14C36	0.70252514
KRT18P46	SSX2B	0.72424173
KRT18P46	LINC00661	0.71656543
RP3-428A13.2	ZIK1P1	0.7222087
RP3-428A13.2	PRDM9	0.7505086
RP3-428A13.2	C16orf97	0.71449405
RP3-428A13.2	TRIM60P13	0.761998
RP3-428A13.2	RP11-19D2.2	0.73206335
RP3-428A13.2	LINC01541	0.71299237
RP3-428A13.2	F9	0.7003247
RP3-428A13.2	RP11-204I15.1	0.74571925
RP3-428A13.2	RP11-566K19.12	0.72085136
RP3-428A13.2	TAAR3	0.7762992
RP3-428A13.2	RP1-27K12.2	0.72573704
RP3-428A13.2	RP11-152L7.2	0.74014187
RP3-428A13.2	ZSWIM5P3	0.71562177
RP3-428A13.2	AC005176.2	0.7039936
RP3-428A13.2	LINC01205	0.70029813
RP3-428A13.2	RP11-263G22.1	0.75200796
RP1-140J1.1	RPTN	0.7087036
RP1-140J1.1	PRR23B	0.71721935
RP1-140J1.1	LINC00210	0.7143341
LINC00706	RP11-203I2.2	0.7659457
LINC00706	IL17A	0.7413251
